"x","model","probability","SEmax","SEmin"
-3,"mod4",0.105997716605097,0.124205158859614,0.0901844888847466
-3,"mod1",0.0956603896115399,0.0940336013312656,0.0973122984741759
-3,"mod3",0.102232773011653,0.111045572571936,0.0940453829580225
-2.96984924623116,"mod4",0.105928145610059,0.124323343504159,0.0899750851256021
-2.96984924623116,"mod1",0.0954259006092337,0.0938616544395657,0.0970134246395479
-2.96984924623116,"mod3",0.102022539788293,0.110891171244754,0.093788367208782
-2.93969849246231,"mod4",0.105858614870656,0.124441624625804,0.0897661196183228
-2.93969849246231,"mod1",0.0951919258980817,0.093689989449335,0.0967153703836296
-2.93969849246231,"mod3",0.101812689863392,0.110736957858898,0.0935319813391754
-2.90954773869347,"mod4",0.105789124370692,0.124560002272892,0.0895575916683611
-2.90954773869347,"mod1",0.0949584646465674,0.0935186060172653,0.0964181340626332
-2.90954773869347,"mod3",0.101603222739674,0.110582932259952,0.0932762242016257
-2.87939698492462,"mod4",0.105719674093967,0.124678476493733,0.0893495005812251
-2.87939698492462,"mod1",0.0947255160230477,0.0933475038000265,0.0961217140323117
-2.87939698492462,"mod3",0.10139413791967,0.110429094293414,0.0930210946484562
-2.84924623115578,"mod4",0.10565026402428,0.1247970473366,0.0891418456624842
-2.84924623115578,"mod1",0.0944930791957611,0.0931766824542685,0.0958261086479872
-2.84924623115578,"mod3",0.101185434905716,0.110275443804702,0.0927665915319046
-2.81909547738693,"mod4",0.105580894145424,0.124915714849731,0.0889346262177754
-2.81909547738693,"mod1",0.094261153332837,0.0930061416366234,0.0955313162645795
-2.81909547738693,"mod3",0.100977113199963,0.110121980639149,0.0925127137041377
-2.78894472361809,"mod4",0.105511564441192,0.12503447908133,0.0887278415528081
-2.78894472361809,"mod1",0.0940297376023038,0.0928358810037076,0.0952373352366331
-2.78894472361809,"mod3",0.100769172304378,0.109968704642008,0.0922594600172657
-2.75879396984925,"mod4",0.105442274895374,0.125153340079564,0.0885214909733706
-2.75879396984925,"mod1",0.0937988311720978,0.092665900212123,0.0949441639183455
-2.75879396984925,"mod3",0.100561611720751,0.109815615658451,0.0920068293233564
-2.7286432160804,"mod4",0.105373025491754,0.125272297892565,0.0883155737853354
-2.7286432160804,"mod1",0.0935684332100723,0.0924961989184598,0.0946518006635944
-2.7286432160804,"mod3",0.100354430950694,0.109662713533571,0.0917548204744493
-2.69849246231156,"mod4",0.105303816214117,0.125391352568428,0.0881100892946649
-2.69849246231156,"mod1",0.0933385428840049,0.0923267767792977,0.0943602438259653
-2.69849246231156,"mod3",0.100147629495651,0.109509998112379,0.0915034323225695
-2.66834170854271,"mod4",0.105234647046243,0.125510504155213,0.0879050368074169
-2.66834170854271,"mod1",0.0931091593616076,0.0921576334512084,0.0940694917587787
-2.66834170854271,"mod3",0.099941206856898,0.109357469239812,0.0912526637197423
-2.63819095477387,"mod4",0.10516551797191,0.125629752700945,0.0877004156297502
-2.63819095477387,"mod1",0.0928802818105339,0.0919887685907568,0.093779542815117
-2.63819095477387,"mod3",0.0997351625355511,0.109205126760725,0.0910025135180065
-2.60804020100502,"mod4",0.105096428974891,0.12574909825361,0.0874962250679304
-2.60804020100502,"mod1",0.0926519093983881,0.0918201818545037,0.0934903953478513
-2.60804020100502,"mod3",0.0995294960325664,0.109052970519899,0.0907529805694284
-2.57788944723618,"mod4",0.105027380038961,0.125868540861161,0.087292464428335
-2.57788944723618,"mod1",0.0924240412927334,0.0916518728990071,0.0932020477096688
-2.57788944723618,"mod3",0.0993242068487473,0.108901000362036,0.090504063726116
-2.54773869346734,"mod4",0.104958371147887,0.12598808057151,0.0870891330174593
-2.54773869346734,"mod1",0.0921966766611002,0.091483841380824,0.0929144982530982
-2.54773869346734,"mod3",0.0991192944847468,0.108749216131764,0.0902557618402319
-2.51758793969849,"mod4",0.104889402285436,0.126107717432537,0.0868862301419215
-2.51758793969849,"mod1",0.0919698146709946,0.0913160869565128,0.0926277453305371
-2.51758793969849,"mod3",0.0989147584410728,0.108597617673635,0.0900080737640078
-2.48743718592965,"mod4",0.104820473435373,0.126227451492082,0.0866837551084684
-2.48743718592965,"mod1",0.0917434544899065,0.0911486092826349,0.0923417872942778
-2.48743718592965,"mod3",0.0987105982180915,0.10844620483213,0.0897609983497572
-2.4572864321608,"mod4",0.104751584581457,0.12634728279795,0.0864817072239806
-2.4572864321608,"mod1",0.0915175952853179,0.0909814080157562,0.0920566224965337
-2.4572864321608,"mod3",0.0985068133160317,0.108294977451651,0.0895145344498898
-2.42713567839196,"mod4",0.104682735707448,0.126467211397907,0.0862800857954782
-2.42713567839196,"mod1",0.091292236224711,0.0908144828124496,0.0917722492894644
-2.42713567839196,"mod3",0.0983034032349887,0.108143935376533,0.0892686809169237
-2.39698492462312,"mod4",0.104613926797101,0.126587237339683,0.0860788901301257
-2.39698492462312,"mod1",0.0910673764755767,0.0906478333292963,0.0914886660252027
-2.39698492462312,"mod3",0.0981003674749288,0.107993078451034,0.0890234366034999
-2.36683417085427,"mod4",0.104545157834168,0.126707360670971,0.0858781195352379
-2.36683417085427,"mod1",0.0908430152054221,0.090481459222888,0.0912058710558791
-2.36683417085427,"mod3",0.0978977055356925,0.107842406519345,0.0887788003623948
-2.33668341708543,"mod4",0.104476428802401,0.126827581439425,0.0856777733182843
-2.33668341708543,"mod1",0.0906191515817793,0.0903153601498285,0.0909238627336477
-2.33668341708543,"mod3",0.0976954169169997,0.107691919425582,0.0885347710465335
-2.30653266331658,"mod4",0.104407739685546,0.126947899692663,0.0854778507868957
-2.30653266331658,"mod1",0.0903957847722127,0.0901495357667355,0.0906426394107116
-2.30653266331658,"mod3",0.0974935011184523,0.107541617013794,0.088291347509003
-2.27638190954774,"mod4",0.104339090467349,0.127068315478263,0.0852783512488681
-2.27638190954774,"mod1",0.0901729139443277,0.0899839857302425,0.0903621994393478
-2.27638190954774,"mod3",0.0972919576395394,0.10739149912796,0.0880485286030653
-2.24623115577889,"mod4",0.104270481131552,0.127188828843767,0.0850792740121688
-2.24623115577889,"mod1",0.089950538265778,0.0898187096970009,0.0900825411719322
-2.24623115577889,"mod3",0.0970907859796406,0.10724156561199,0.0878063131821699
-2.21608040201005,"mod4",0.104201911661895,0.127309439836679,0.0848806183849411
-2.21608040201005,"mod1",0.0897286569042739,0.0896537073236812,0.0898036629609644
-2.21608040201005,"mod3",0.0968899856380301,0.107091816309727,0.0875647000999671
-2.18592964824121,"mod4",0.104133382042115,0.127430148504463,0.0846823836755099
-2.18592964824121,"mod1",0.0895072690275901,0.0894889782669751,0.0895255631590924
-2.18592964824121,"mod3",0.0966895561138808,0.106942251064945,0.0873236882103206
-2.15577889447236,"mod4",0.104064892255945,0.127550954894546,0.0844845691923865
-2.15577889447236,"mod1",0.0892863738035734,0.0893245221835975,0.0892482401191369
-2.15577889447236,"mod3",0.0964894969062679,0.106792869721355,0.0870832763673203
-2.12562814070352,"mod4",0.103996442287119,0.127671859054317,0.0842871742442738
-2.12562814070352,"mod1",0.0890659704001508,0.0891603387302878,0.0889716921941162
-2.12562814070352,"mod3",0.0962898075141731,0.106643672122598,0.0868434634252947
-2.09547738693467,"mod4",0.103928032119366,0.127792861031123,0.0840901981400715
-2.09547738693467,"mod1",0.0888460579853369,0.0889964275638122,0.0886959177372695
-2.09547738693467,"mod3",0.0960904874364883,0.106494658112252,0.0866042482388238
-2.06532663316583,"mod4",0.103859661736412,0.127913960872277,0.0838936401888808
-2.06532663316583,"mod1",0.0886266357272415,0.088832788340965,0.0884209151020814
-2.06532663316583,"mod3",0.0958915361720198,0.106345827533832,0.0863656296627511
-2.03517587939699,"mod4",0.103791331121983,0.128035158625049,0.08369749970001
-2.03517587939699,"mod1",0.088407702794078,0.0886694207185707,0.0881466826423061
-2.03517587939699,"mod3",0.0956929532194916,0.106197180230786,0.0861276065521966
-2.00502512562814,"mod4",0.103723040259799,0.128156454336673,0.083501775982979
-2.00502512562814,"mod1",0.0881892583541702,0.0885063243534854,0.0878732187119904
-2.00502512562814,"mod3",0.0954947380775497,0.106048716046501,0.0858901777625687
-1.9748743718593,"mod4",0.10365478913358,0.128277848054341,0.0833064683475247
-1.9748743718593,"mod1",0.0879713015759602,0.0883434989025989,0.0876005216654976
-1.9748743718593,"mod3",0.095296890244766,0.105900434824302,0.0856533421495766
-1.94472361809045,"mod4",0.103586577727043,0.128399339825208,0.0831115761036054
-1.94472361809045,"mod1",0.0877538316280163,0.0881809440228363,0.087328589857531
-1.94472361809045,"mod3",0.0950994092196415,0.105752336407451,0.0854170985692426
-1.91457286432161,"mod4",0.103518406023902,0.128520929696387,0.0829170985614065
-1.91457286432161,"mod1",0.0875368476790398,0.0880186593711598,0.0870574216431568
-1.91457286432161,"mod3",0.094902294500611,0.10560442063915,0.0851814458779138
-1.88442211055276,"mod4",0.10345027400787,0.128642617714954,0.0827230350313445
-1.88442211055276,"mod1",0.0873203488978731,0.08785664460457,0.0867870153778277
-1.88442211055276,"mod3",0.0947055455860459,0.10545668736254,0.0849463829322748
-1.85427135678392,"mod4",0.103382181662656,0.128764403927943,0.0825293848240726
-1.85427135678392,"mod1",0.0871043344535067,0.0876948993801085,0.0865173694174051
-1.85427135678392,"mod3",0.0945091619742588,0.105309136420702,0.084711908589359
-1.82412060301508,"mod4",0.103314128971966,0.12888628838235,0.0823361472504853
-1.82412060301508,"mod1",0.0868888035150871,0.0875334233548585,0.0862484821181828
-1.82412060301508,"mod3",0.0943131431635069,0.10516176765666,0.0844780217065609
-1.79396984924623,"mod4",0.103246115919507,0.129008271125128,0.0821433216217231
-1.79396984924623,"mod1",0.0866737552519233,0.0873722161859475,0.0859803518369088
-1.79396984924623,"mod3",0.0941174886519956,0.105014580913379,0.0842447211416479
-1.76381909547739,"mod4",0.103178142488979,0.129130352203192,0.0819509072491774
-1.76381909547739,"mod1",0.0864591888334953,0.0872112775305484,0.085712976930808
-1.76381909547739,"mod3",0.0939221979378826,0.104867576033763,0.0840120057527717
-1.73366834170854,"mod4",0.103110208664084,0.129252531663417,0.0817589034444953
-1.73366834170854,"mod1",0.0862451034294602,0.0870506070458815,0.0854463557576048
-1.73366834170854,"mod3",0.0937272705192813,0.104720752860664,0.0837798743984806
-1.7035175879397,"mod4",0.103042314428518,0.129374809552636,0.0815673095195843
-1.7035175879397,"mod1",0.0860314982096601,0.0868902043892157,0.0851804866755452
-1.7035175879397,"mod3",0.0935327058942645,0.104574111236876,0.0835483259377305
-1.67336683417085,"mod4",0.102974459765977,0.129497185917642,0.0813761247866172
-1.67336683417085,"mod1",0.0858183723441292,0.0867300692178709,0.0849153680434184
-1.67336683417085,"mod3",0.0933385035608684,0.104427651005135,0.0833173592298965
-1.64321608040201,"mod4",0.102906644660154,0.129619660805186,0.0811853485580362
-1.64321608040201,"mod1",0.0856057250031009,0.0865702011892193,0.084650998220579
-1.64321608040201,"mod3",0.0931446630170957,0.104281372008125,0.0830869731347848
-1.61306532663317,"mod4",0.102838869094739,0.129742234261981,0.0809949801465586
-1.61306532663317,"mod1",0.0853935553570148,0.0864105999606867,0.084387375566969
-1.61306532663317,"mod3",0.09295118376092,0.104135274088475,0.0828571665126438
-1.58291457286432,"mod4",0.102771133053421,0.129864906334695,0.0808050188651802
-1.58291457286432,"mod1",0.0851818625765241,0.0862512651897549,0.0841244984431386
-1.58291457286432,"mod3",0.0927580652902888,0.103989357088759,0.0826279382241752
-1.55276381909548,"mod4",0.102703436519886,0.129987677069957,0.080615464027181
-1.55276381909548,"mod1",0.0849706458325022,0.0860921965339628,0.0838623652102682
-1.55276381909548,"mod3",0.0925653071031273,0.103843620851501,0.0823992871305457
-1.52261306532663,"mod4",0.102635779477817,0.130110546514355,0.0804263149461292
-1.52261306532663,"mod1",0.0847599042960502,0.0859333936509083,0.0836009742301897
-1.52261306532663,"mod3",0.0923729086973421,0.103698065219169,0.0821712120933977
-1.49246231155779,"mod4",0.102568161910897,0.130233514714434,0.0802375709358859
-1.49246231155779,"mod1",0.0845496371385033,0.0857748561982496,0.0833403238654072
-1.49246231155779,"mod3",0.0921808695708248,0.103552690034183,0.0819437119748608
-1.46231155778894,"mod4",0.102500583802803,0.130356581716698,0.0800492313106096
-1.46231155778894,"mod1",0.0843398435314384,0.0856165838337074,0.0830804124791182
-1.46231155778894,"mod3",0.0919891892214554,0.103407495138909,0.0817167856375626
-1.4321608040201,"mod4",0.102433045137214,0.130479747567609,0.0798612953847607
-1.4321608040201,"mod1",0.0841305226466803,0.0854585762150661,0.0828212384352346
-1.4321608040201,"mod3",0.0917978671471061,0.103262480375664,0.0814904319446397
-1.40201005025126,"mod4",0.102365545897805,0.130603012313586,0.0796737624731063
-1.40201005025126,"mod1",0.0839216736563089,0.0853008330001754,0.0825628000984031
-1.40201005025126,"mod3",0.0916069028456445,0.103117645586715,0.0812646497597487
-1.37185929648241,"mod4",0.102298086068246,0.130726376001009,0.0794866318907242
-1.37185929648241,"mod1",0.0837132957326663,0.0851433538469522,0.0823050958340256
-1.37185929648241,"mod3",0.0914162958149376,0.102972990614281,0.0810394379470768
-1.34170854271357,"mod4",0.102230665632211,0.130849838676211,0.0792999029530076
-1.34170854271357,"mod1",0.0835053880483629,0.0849861384133821,0.0820481240082802
-1.34170854271357,"mod3",0.091226045552855,0.102828515300531,0.0808147953713527
-1.31155778894472,"mod4",0.102163284573365,0.130973400385487,0.0791135749756694
-1.31155778894472,"mod1",0.0832979497762845,0.0848291863575206,0.0817918829881406
-1.31155778894472,"mod3",0.0910361515572723,0.102684219487589,0.0805907208978574
-1.28140703517588,"mod4",0.102095942875377,0.131097061175087,0.0789276472747468
-1.28140703517588,"mod1",0.0830909800895992,0.0846724973374953,0.0815363711413968
-1.28140703517588,"mod3",0.090846613326075,0.102540103017528,0.0803672133924345
-1.25125628140704,"mod4",0.102028640521909,0.131220821091218,0.0787421191666053
-1.25125628140704,"mod1",0.0828844781617636,0.0845160710115073,0.0812815868366749
-1.25125628140704,"mod3",0.0906574303571616,0.102396165732377,0.0801442717215009
-1.22110552763819,"mod4",0.101961377496623,0.131344680180045,0.0785569899679435
-1.22110552763819,"mod1",0.08267844316653,0.0843599070378325,0.0810275284434567
-1.22110552763819,"mod3",0.090468602148447,0.10225240747412,0.0799218947520573
-1.19095477386935,"mod4",0.10189415378318,0.131468638487691,0.0783722589957969
-1.19095477386935,"mod1",0.0824728742779522,0.0842040050748233,0.0807741943320996
-1.19095477386935,"mod3",0.0902801281978663,0.102108828084693,0.0797000813516987
-1.1608040201005,"mod4",0.101826969365237,0.131592696060233,0.0781879255675427
-1.1608040201005,"mod1",0.0822677706703929,0.0840483647809105,0.0805215828738559
-1.1608040201005,"mod3",0.0900920080033782,0.101965427405991,0.0794788303886244
-1.13065326633166,"mod4",0.10175982422645,0.131716852943706,0.0780039890009037
-1.13065326633166,"mod1",0.0820631315185295,0.0838929858146044,0.0802696924408923
-1.13065326633166,"mod3",0.0899042410629679,0.101822205279862,0.0792581407316485
-1.10050251256281,"mod4",0.101692718350471,0.131841109184104,0.0778204486139526
-1.10050251256281,"mod1",0.0818589559973611,0.0837378678344965,0.0800185214063091
-1.10050251256281,"mod3",0.0897168268746512,0.101679161548113,0.0790380112502102
-1.07035175879397,"mod4",0.101625651720953,0.131965464827373,0.0776373037251164
-1.07035175879397,"mod1",0.0816552432822146,0.0835830104992613,0.0797680681441593
-1.07035175879397,"mod3",0.0895297649364772,0.101536296052508,0.0788184408143836
-1.04020100502513,"mod4",0.101558624321545,0.132089919919417,0.0774545536531803
-1.04020100502513,"mod1",0.0814519925487511,0.0834284134676574,0.0795183310294673
-1.04020100502513,"mod3",0.0893430547465323,0.101393608634767,0.0785994282948881
-1.01005025125628,"mod4",0.101491636135895,0.132214474506098,0.0772721977172922
-1.01005025125628,"mod1",0.0812492029729726,0.0832740763985295,0.0792693084382479
-1.01005025125628,"mod3",0.0891566958029432,0.101251099136571,0.0783809725630981
-0.979899497487437,"mod4",0.101424687147647,0.132339128633232,0.0770902352369666
-0.979899497487437,"mod1",0.081046873731228,0.0831199989508094,0.0790209987475253
-0.979899497487437,"mod3",0.08897068760388,0.101108767399561,0.0781630724910531
-0.949748743718593,"mod4",0.101357777340446,0.13246388234659,0.0769086655320887
-0.949748743718593,"mod1",0.0808450040002193,0.0829661807835181,0.0787734003353508
-0.949748743718593,"mod3",0.0887850296475603,0.100966613265334,0.0779457269514676
-0.919597989949749,"mod4",0.101290906697932,0.1325887356919,0.0767274879229187
-0.919597989949749,"mod1",0.0806435929570083,0.0828126215557668,0.0785265115808217
-0.919597989949749,"mod3",0.0885997214322517,0.100824636575453,0.0777289348177406
-0.889447236180905,"mod4",0.101224075203745,0.132713688714846,0.0765467017300957
-0.889447236180905,"mod1",0.0804426397790225,0.0826593209267587,0.0782803308640996
-0.889447236180905,"mod3",0.0884147624562755,0.100682837171437,0.0775126949639656
-0.859296482412061,"mod4",0.101157282841523,0.132838741461065,0.0763663062746418
-0.859296482412061,"mod1",0.080242143644061,0.0825062785557905,0.0780348565664283
-0.859296482412061,"mod3",0.0882301522180099,0.10054121489477,0.0772970062649403
-0.829145728643216,"mod4",0.101090529594901,0.132963893976151,0.076186300877966
-0.829145728643216,"mod1",0.0800421037303014,0.0823534941022537,0.0777900870701516
-0.829145728643216,"mod3",0.0880458902158934,0.100399769586897,0.0770818675961759
-0.798994974874372,"mod4",0.101023815447513,0.133089146305653,0.0760066848618686
-0.798994974874372,"mod1",0.0798425192163051,0.0822009672256363,0.0775460207587315
-0.798994974874372,"mod3",0.0878619759484278,0.100258501089228,0.0768672778339067
-0.768844221105528,"mod4",0.100957140382991,0.133214498495075,0.0758274575485445
-0.768844221105528,"mod1",0.0796433892810239,0.0820486975855243,0.0773026560167655
-0.768844221105528,"mod3",0.0876784089141816,0.100117409243135,0.0766532358550999
-0.738693467336684,"mod4",0.100890504384964,0.133339950589873,0.0756486182605879
-0.738693467336684,"mod1",0.079444713103806,0.0818966848416028,0.0770599912300045
-0.738693467336684,"mod3",0.0874951886117931,0.0999764938899536,0.0764397405374644
-0.708542713567839,"mod4",0.100823907437061,0.133465502635463,0.0754701663209955
-0.708542713567839,"mod1",0.0792464898644016,0.0817449286536578,0.0768180247853699
-0.708542713567839,"mod3",0.087312314539974,0.0998357548709864,0.0762267907594608
-0.678391959798995,"mod4",0.100757349522907,0.133591154677209,0.075292101053171
-0.678391959798995,"mod1",0.0790487187429691,0.081593428681578,0.076576755070971
-0.678391959798995,"mod3",0.0871297861975119,0.0996951920275003,0.0760143854003099
-0.648241206030151,"mod4",0.100690830626128,0.133716906760434,0.0751144217809286
-0.648241206030151,"mod1",0.0788513989200813,0.0814421845853553,0.076336180476122
-0.648241206030151,"mod3",0.0869476030832741,0.0995548052007286,0.0758025233400025
-0.618090452261307,"mod4",0.100624350730344,0.133842758930413,0.0749371278284972
-0.618090452261307,"mod1",0.0786545295767308,0.0812911960250872,0.0760962993913593
-0.618090452261307,"mod3",0.0867657646962106,0.0994145942318713,0.0755912034593084
-0.587939698492463,"mod4",0.100557909819178,0.133968711232375,0.0747602185205237
-0.587939698492463,"mod1",0.0784581098943361,0.0811404626609777,0.0758571102084579
-0.587939698492463,"mod3",0.0865842705353569,0.099274558962096,0.075380424639785
-0.557788944723618,"mod4",0.100491507876247,0.134094763711505,0.0745836931820774
-0.557788944723618,"mod1",0.0782621390547476,0.0809899841533388,0.0756186113204486
-0.557788944723618,"mod3",0.0864031200998378,0.099134699232538,0.0751701857637872
-0.527638190954774,"mod4",0.100425144885169,0.134220916412938,0.0744075511386532
-0.527638190954774,"mod1",0.0780666162402528,0.0808397601625923,0.0753808011216342
-0.527638190954774,"mod3",0.0862223128888699,0.0989950148843014,0.0749604857144754
